1	100	0	85.6	93.1	0.835804	0.65312
1	50	0	35.6	93.1	0.870846	0.65844
1	0	0	-14.4	93.1	0.883102	0.65048
1	-50	0	-64.4	93.1	0.874764	0.65796
1	-100	0	-114.4	93.1	0.811057	0.6548
2	100	0	85.6	243.1	0.813613	0.65584
2	50	0	35.6	243.1	0.870944	0.65832
2	0	0	-14.4	243.1	0.874696	0.65792
2	-50	0	-64.4	243.1	0.863312	0.6558
2	-100	0	-114.4	243.1	0.813731	0.65604
3	100	0	85.6	270.1	0.667963	0.63764
3	50	0	35.6	270.1	0.768476	0.66032
3	0	0	-14.4	270.1	0.763579	0.64512
3	-50	0	-64.4	270.1	0.769974	0.65436
3	-100	0	-114.4	270.1	0.677561	0.6462
4	100	75	85.6	168.1	0.822774	0.65724
4	50	75	35.6	168.1	0.870368	0.66064
4	0	75	-14.4	168.1	0.880963	0.65324
4	-50	75	-64.4	168.1	0.867278	0.65852
4	-100	75	-114.4	168.1	0.816504	0.66116
5	100	0	85.6	168.1	0.888001	0.65108
5	50	0	35.6	168.1	0.912105	0.6576
5	0	0	-14.4	168.1	0.911670	0.66116
5	-50	0	-64.4	168.1	0.906160	0.65388
5	-100	0	-114.4	168.1	0.882458	0.65236
