1	100	0	85.6	93.1	0.741120	0.65312
1	50	0	35.6	93.1	0.813620	0.65844
1	0	0	-14.4	93.1	0.835260	0.65048
1	-50	0	-64.4	93.1	0.818652	0.65796
1	-100	0	-114.4	93.1	0.735186	0.6548
2	100	0	85.6	243.1	0.753476	0.65584
2	50	0	35.6	243.1	0.829202	0.65832
2	0	0	-14.4	243.1	0.848857	0.65792
2	-50	0	-64.4	243.1	0.829765	0.6558
2	-100	0	-114.4	243.1	0.785745	0.65604
3	100	0	85.6	270.1	0.622734	0.63764
3	50	0	35.6	270.1	0.704446	0.66032
3	0	0	-14.4	270.1	0.736855	0.64512
3	-50	0	-64.4	270.1	0.708784	0.65436
3	-100	0	-114.4	270.1	0.658372	0.6462
4	100	75	85.6	168.1	0.761366	0.65724
4	50	75	35.6	168.1	0.832587	0.66064
4	0	75	-14.4	168.1	0.844100	0.65324
4	-50	75	-64.4	168.1	0.825123	0.65852
4	-100	75	-114.4	168.1	0.745115	0.66116
5	100	0	85.6	168.1	0.849849	0.65108
5	50	0	35.6	168.1	0.921655	0.6576
5	0	0	-14.4	168.1	0.927158	0.66116
5	-50	0	-64.4	168.1	0.919802	0.65388
5	-100	0	-114.4	168.1	0.877981	0.65236
