PMT, p0, p1, p2, T1, T2, r1, r2, uncertainty_p0, uncertainty_p1, uncertainty_p2, uncertainty_T1, uncertainty_T2, uncertainty_r1, uncertainty_r2, offset_std
332, 20.357853978341936, 65.90384439721554, 0.0340967744115092, 7.557160702639488, 6.585655917219643, 0.1503852922643872, 0.0283262902553479, 1.5006784011077394, 0.1821045576494313, 0.0020383848858524, 0.8183581423499159, 1.3294537012359884, 0.0319670913492465, 0.0212107330727452, 1.31
334, 6.292263691717479, 66.17529055087431, 0.0479550421907901, 7.028760743259689, 6.708418856643082, 1.2999999999999998, 0.8831324340336038, 0.754961760469793, 0.5060144651618599, 0.0047079405839556, 0.5494404969709311, 0.3931356265396093, 0.2227145854675353, 0.262187622488554, 0.57
335, 15.790696448010278, 66.7984345406303, 0.0421359716208697, 8.681214051550992, 8.406762885569735, 0.1665020833218284, 0.0798274099045134, 1.4366601798060934, 0.2926699462545326, 0.0025504882574863, 0.9806570759481033, 0.5682558594952786, 0.0388617629341706, 0.020493300267404, 1.36
336, 14.383511954753358, 66.3345096634602, 0.0402961636208563, 9.030202858813963, 8.12502775564912, 0.2018161494205744, 0.1099581127595617, 0.7312133475898853, 0.1505907674866848, 0.0015810733327726, 0.6038714965494124, 0.3897435593647128, 0.0284952802199744, 0.0213485284430556, 1.33
338, 9.751203657255116, 66.09204333811005, 0.0417688718421429, 7.870905656037526, 7.48408716940295, 0.8793499987261487, 0.3813396934209984, 0.6291471368220871, 0.1842806521392485, 0.0017302975245936, 0.2386304454804918, 0.2398935612948264, 0.0695339006141688, 0.0506630520223418, 1.85
339, 12.297137860654884, 66.25433439234966, 0.0410039389624383, 8.712815893450685, 9.078555383381486, 0.287588600092208, 0.1860505124675845, 0.9699956938398736, 0.2237270945022526, 0.0024822126317048, 0.7725603832311662, 0.5379861371461777, 0.0611103629288461, 0.0494593533475276, 0.95
340, 13.236372335808973, 66.6125305674671, 0.0426244102502171, 9.341517097309929, 9.341753844982414, 0.2787903874544818, 0.1298472064798972, 0.9722414439332344, 0.197676827031285, 0.0020950128178821, 0.5415375345441487, 0.5358072131451369, 0.0395040903759332, 0.0343961868646554, 1.29
341, 19.671767926618845, 66.57659829699266, 0.0392724761439105, 8.66492442594544, 7.823086748074368, 0.1733782616419335, 0.0251066508853136, 0.8609250064152121, 0.117863382297257, 0.0012647868135769, 0.4943269882416702, 1.105360575091787, 0.0199459893319272, 0.013031301380743, 1.95
344, 12.2135404235275, 66.21814185876319, 0.0402443983589074, 9.999999999999998, 9.999999999999998, 0.4583938774896324, 0.327458807747422, 3.271092049037668, 0.6677256037508603, 0.0052553814226796, 0.9418292192490556, 0.6611275022340305, 0.1554458296742829, 0.1270203810499398, 2.11
347, 17.237522282606196, 66.88819719304713, 0.041863701801471, 7.054668116607341, 7.904142341113217, 0.2386773215632731, 0.0525338860923424, 1.0016354950146786, 0.2279784361981261, 0.0021616698215719, 0.7097112099875018, 0.8459998117959165, 0.0545083704982428, 0.0215464687425428, 1.92
