25 12 0
30 7 0
36 15 0
39 4 0
24 10 1
26 12 1
27 11 1
28 13 1
29 7 1
31 9 1
32 6 1
33 8 1
34 15 1
35 0 1
37 1 1
38 14 1
40 5 1
41 3 1
42 4 1
43 2 1
109 11 2
110 13 2
119 12 2
121 8 2
123 7 2
125 1 2
126 0 2
128 15 2
136 9 2
144 5 2
145 4 2
146 3 2
66 5 3
71 3 3
77 15 3
84 1 3
87 11 3
91 13 3
100 9 3
106 7 3
111 12 3
112 10 3
124 14 3
131 0 3
137 6 3
139 8 3
141 4 3
150 2 3
68 4 4
69 5 4
70 3 4
73 2 4
79 0 4
80 15 4
82 1 4
83 14 4
86 13 4
88 11 4
93 12 4
94 10 4
98 7 4
99 6 4
101 9 4
104 8 4
74 2 5
85 14 5
96 10 5
97 6 5
113 13 5
116 11 5
117 12 5
120 8 5
127 15 5
132 0 5
133 1 5
142 5 5
143 4 5
149 3 5
154 7 5
155 9 5
64 5 6
65 3 6
67 4 6
72 2 6
75 0 6
76 14 6
78 15 6
81 1 6
89 11 6
90 12 6
92 10 6
95 13 6
102 8 6
103 9 6
105 6 6
107 7 6
108 12 7
114 13 7
115 11 7
118 10 7
122 7 7
129 0 7
130 1 7
134 14 7
135 15 7
138 9 7
140 3 7
147 4 7
148 2 7
151 5 7
152 8 7
153 6 7
44 8 8
45 11 8
46 6 8
47 9 8
48 10 8
49 12 8
50 13 8
51 15 8
52 14 8
53 1 8
54 3 8
55 0 8
57 4 8
58 5 8
59 2 8
61 7 8
56 4 9
60 15 9
62 8 9
63 12 9
