333 12 0
338 7 0
344 15 0
347 4 0
332 10 1
334 12 1
335 11 1
336 13 1
337 7 1
339 9 1
340 6 1
341 8 1
342 15 1
343 0 1
345 1 1
346 14 1
348 5 1
349 3 1
350 4 1
351 2 1
417 11 2
418 13 2
427 12 2
429 8 2
431 7 2
433 1 2
434 0 2
436 15 2
444 9 2
452 5 2
453 4 2
454 3 2
374 5 3
379 3 3
385 15 3
392 1 3
395 11 3
399 13 3
408 9 3
414 7 3
419 12 3
420 10 3
432 14 3
439 0 3
445 6 3
447 8 3
449 4 3
458 2 3
376 4 4
377 5 4
378 3 4
381 2 4
387 0 4
388 15 4
390 1 4
391 14 4
394 13 4
396 11 4
401 12 4
402 10 4
406 7 4
407 6 4
409 9 4
412 8 4
382 2 5
393 14 5
404 10 5
405 6 5
421 13 5
424 11 5
425 12 5
428 8 5
435 15 5
440 0 5
441 1 5
450 5 5
451 4 5
457 3 5
462 7 5
463 9 5
372 5 6
373 3 6
375 4 6
380 2 6
383 0 6
384 14 6
386 15 6
389 1 6
397 11 6
398 12 6
400 10 6
403 13 6
410 8 6
411 9 6
413 6 6
415 7 6
416 12 7
422 13 7
423 11 7
426 10 7
430 7 7
437 0 7
438 1 7
442 14 7
443 15 7
446 9 7
448 3 7
455 4 7
456 2 7
459 5 7
460 8 7
461 6 7
352 8 8
353 11 8
354 6 8
355 9 8
356 10 8
357 12 8
358 13 8
359 15 8
360 14 8
361 1 8
362 3 8
363 0 8
365 4 8
366 5 8
367 2 8
369 7 8
364 4 9
368 15 9
370 8 9
371 12 9
