332	120
333	122
334	116
335	121
336	117
337	132
338	128
339	126
340	133
341	127
342	119
343	124
344	123
345	125
346	118
347	129
348	134
349	130
350	135
351	131
352	107
353	104
354	109
355	106
356	105
357	103
358	102
359	100
360	101
361	98
362	96
363	99
364	112
365	111
366	110
367	97
368	113
369	108
370	115
371	114
372	34
373	22
374	31
375	28
376	26
377	32
378	20
379	19
380	16
381	14
382	15
383	5
384	88
385	91
386	94
387	3
388	92
389	10
390	8
391	86
392	7
393	87
394	80
395	67
396	68
397	70
398	76
399	79
400	64
401	74
402	62
403	82
404	63
405	39
406	44
407	38
408	55
409	56
410	52
411	58
412	50
413	40
414	43
415	46
416	77
417	66
418	78
419	73
420	61
421	81
422	83
423	71
424	69
425	75
426	65
427	72
428	51
429	48
430	47
431	42
432	85
433	6
434	1
435	93
436	90
437	0
438	11
439	2
440	4
441	9
442	89
443	95
444	54
445	37
446	59
447	49
448	23
449	25
450	33
451	27
452	30
453	24
454	18
455	29
456	17
457	21
458	13
459	35
460	53
461	41
462	45
463	57
