52    0.80391    1.18172
53    0.952744    0.99712
54    0.941703    1.00881
55    0.943432    1.00696
56    0.938404    1.01236
57    0.957645    0.992017
58    0.940418    1.01019
59    0.950881    0.999073
60    0.951423    0.998504
61    0.955138    0.994621
62    0.945138    1.00514
63    0.937649    1.01317
64    0.940545    1.01005
65    0.952832    0.997028
66    0.808368    1.17521
67    0.814864    1.16584
68    0.947312    1.00284
69    0.945395    1.00487
70    0.944073    1.00628
71    0.949777    1.00023
72    0.957611    0.992052
73    0.950949    0.999002
74    0.950759    0.999201
75    0.942096    1.00839
76    0.958033    0.991615
77    0.950011    0.999989
78    0.945359    1.00491
79    0.951678    0.998237
80    0.949135    1.00091
81    0.820479    1.15786
82    0.817802    1.16165
83    0.950717    0.999245
84    0.94666    1.00353
85    0.947377    1.00277
86    0.950039    0.999959
87    0.944171    1.00617
88    0.954509    0.995276
89    0.952074    0.997821
90    0.951844    0.998062
91    0.953808    0.996007
92    0.94691    1.00326
93    0.949008    1.00105
94    0.829653    1.14506
95    0.823042    1.15425
96    0.945311    1.00496
97    0.951628    0.998289
98    0.950327    0.999656
99    0.948223    1.00187
100    0.948919    1.00114
101    0.953145    0.9967
102    0.949969    1.00003
103    0.952345    0.997537
104    0.952788    0.997073
105    0.951435    0.998492
106    0.945362    1.00491
107    0.824502    1.15221
108    0.834586    1.13829
109    0.921227    1.03123
110    0.957263    0.992413
111    0.934416    1.01668
112    0.944203    1.00614
113    0.938131    1.01265
114    0.961682    0.987853
115    0.925637    1.02632
116    0.942566    1.00789
117    0.936785    1.01411
118    0.96468    0.984782
119    0.942529    1.00793
120    0.946023    1.0042
121    0.936442    1.01448
122    0.966227    0.983206
123    0.930268    1.02121
124    0.848312    1.11987
125    0.850613    1.11684
126    0.92341    1.0288
127    0.957913    0.991739
128    0.936958    1.01392
129    0.946248    1.00397
130    0.936869    1.01402
131    0.9539    0.995912
132    0.935068    1.01597
133    0.943172    1.00724
134    0.935719    1.01526
135    0.957978    0.991672
136    0.94206    1.00843
137    0.946826    1.00335
138    0.933964    1.01717
139    0.960076    0.989505
140    0.932721    1.01853
141    0.838555    1.1329
142    0.803303    1.18262
143    0.949556    1.00047
144    0.950553    0.999418
145    0.950887    0.999067
146    0.950345    0.999637
147    0.946221    1.00399
148    0.945933    1.0043
149    0.951311    0.998621
150    0.945381    1.00489
151    0.951269    0.998666
152    0.951068    0.998877
153    0.946287    1.00392
154    0.805751    1.17902
155    0.840818    1.12985
156    0.949915    1.00009
157    0.95451    0.995275
158    0.95173    0.998183
159    0.949355    1.00068
160    0.948926    1.00113
161    0.949581    1.00044
162    0.947714    1.00241
163    0.949806    1.0002
164    0.952179    0.997712
165    0.951701    0.998212
166    0.949611    1.00041
167    0.8172    1.16251
168    0.867368    1.09527
169    0.930127    1.02137
170    0.932755    1.01849
171    0.916486    1.03657
172    0.931634    1.01971
173    0.931696    1.01965
174    0.918004    1.03485
175    0.93625    1.01469
176    0.938732    1.012
177    0.918579    1.03421
178    0.932639    1.01861
179    0.930653    1.02079
180    0.882071    1.07701
181    0.867596    1.09498
182    0.932442    1.01883
183    0.935267    1.01575
184    0.914272    1.03908
185    0.934592    1.01649
186    0.938501    1.01225
187    0.914517    1.0388
188    0.932282    1.019
189    0.936893    1.01399
190    0.917047    1.03593
191    0.942542    1.00791
192    0.932027    1.01928
193    0.880896    1.07845
194    0.811667    1.17043
195    0.944639    1.00568
196    0.94527    1.005
197    0.941622    1.0089
198    0.948677    1.0014
199    0.943426    1.00697
200    0.947262    1.00289
201    0.95423    0.995567
202    0.946957    1.00321
203    0.950908    0.999045
204    0.945928    1.0043
205    0.944706    1.0056
206    0.799076    1.18887
207    0.83192    1.14194
208    0.949105    1.00094
209    0.948345    1.00175
210    0.944793    1.00551
211    0.946471    1.00373
212    0.943518    1.00687
213    0.950907    0.999046
214    0.944453    1.00587
215    0.948604    1.00147
216    0.949714    1.0003
217    0.947283    1.00287
218    0.947239    1.00291
219    0.804316    1.18113
220    0.939567    1.0111
221    0.96581    0.98363
222    0.955483    0.994261
223    0.961815    0.987716
224    0.964592    0.984873
225    0.962515    0.986998
226    0.96032    0.989253
227    0.961643    0.987893
228    0.962377    0.987139
229    0.965892    0.983547
230    0.963556    0.985931
231    0.957838    0.991817
232    0.963017    0.986483
233    0.96625    0.983183
234    0.955837    0.993893
235    0.950635    0.999332
236    0.962358    0.987159
237    0.959297    0.990308
238    0.95864    0.990988
239    0.960107    0.989473
240    0.960709    0.988853
241    0.9586    0.991029
242    0.96241    0.987105
243    0.95534    0.99441
244    0.959355    0.990249
245    0.96189    0.987639
246    0.960901    0.988655
247    0.959354    0.99025
248    0.964264    0.985207
249    0.948404    1.00168
250    0.818084    1.16125
251    0.938474    1.01228
252    0.9356    1.01539
253    0.941619    1.0089
254    0.94223    1.00825
255    0.93374    1.01741
256    0.94076    1.00982
257    0.943653    1.00673
258    0.939091    1.01162
259    0.938891    1.01183
260    0.937743    1.01307
261    0.9388    1.01193
262    0.797765    1.19083
263    0.847662    1.12073
264    0.93725    1.0136
265    0.934832    1.01623
266    0.944593    1.00572
267    0.93748    1.01336
268    0.944025    1.00633
269    0.942083    1.0084
270    0.9384    1.01236
271    0.938782    1.01195
272    0.945399    1.00487
273    0.934068    1.01706
274    0.930168    1.02132
275    0.801948    1.18462
276    0.914286    1.03906
277    0.947333    1.00281
278    0.929174    1.02241
279    0.941285    1.00926
280    0.942772    1.00767
281    0.945406    1.00486
282    0.946511    1.00369
283    0.946486    1.00371
284    0.948953    1.0011
